lat,lon,co
-22.91536757,-43.17802604,11.69
-22.91249297,-43.17664475,5.97
-22.91808157,-43.1769543,595.09
-22.91523543,-43.17819046,10.36
-22.91484668,-43.17799196,9.15
-22.91080611,-43.17651075,5.85
-22.9094565,-43.1770579,5.43
-22.909791,-43.1766837,5.68
-22.90945268,-43.17688283,5.7
-22.91509862,-43.17816583,9.46
-22.91573177,-43.1777793,12.68
-22.91139268,-43.17686075,5.8
-22.91821233,-43.17684353,452.49
-22.91914229,-43.17707057,32.63
-22.91877914,-43.17709135,38.96
-22.91707198,-43.17731584,82.03
-22.91252924,-43.1770005,6.05
-22.9094873,-43.1770178,5.55
-22.91493073,-43.17796568,9.3
-22.91010143,-43.17639803,5.78
-22.91466287,-43.17806416,8.75
-22.91695177,-43.17731155,28.68
-22.91653677,-43.17749322,19.4
-22.91945962,-43.1784,81.89
-22.91081392,-43.17651293,5.84
-22.91934006,-43.17746853,58.77
-22.91078609,-43.17649205,5.84
-22.91299205,-43.17751632,6.46
-22.91038779,-43.17645979,5.84
-22.91687003,-43.17733665,28.32
-22.91022888,-43.17644956,5.81
-22.91481494,-43.17800517,9.02
-22.91907452,-43.17704717,34.83
-22.91600433,-43.1778017,17.23
-22.91635656,-43.17758026,18.96
-22.91605693,-43.17776036,17.33
-22.91186034,-43.17673977,5.86
-22.9094455,-43.1767999,5.51
-22.91288622,-43.17738004,6.34
-22.91454615,-43.17806457,8.46
-22.91926364,-43.17736117,33.33
-22.91924029,-43.17780044,29.12
-22.91319385,-43.17756721,6.55
-22.9094565,-43.1770579,5.54
-22.91850713,-43.17691567,216.51
-22.91920119,-43.17725541,34.14
-22.91791757,-43.17703838,792.2
-22.916985,-43.177279,22.47
-22.90972237,-43.17675629,5.7
-22.91253335,-43.17650102,5.94
-22.91952509,-43.17831783,37.15
-22.91006388,-43.17637052,5.77
-22.91611824,-43.17775644,17.31
-22.91236776,-43.1764344,5.89
-22.91589815,-43.1778197,16.32
-22.91139673,-43.17686532,5.8
-22.91965869,-43.17840035,33.26
-22.91140431,-43.17688628,5.81
-22.9094873,-43.1770178,5.53
-22.91838588,-43.17687964,298.07
-22.9143293,-43.17806391,8.04
-22.91310037,-43.17755787,6.51
-22.91886876,-43.1770922,37.38
-22.9094565,-43.1770579,5.49
-22.919386,-43.1779315,39.87
-22.91796961,-43.17706754,728.39
-22.91140023,-43.176871,5.8
-22.91860213,-43.17705291,70.32
-22.91680042,-43.17734425,25.81
-22.91773197,-43.17706086,915.15
-22.91349908,-43.17766103,6.74
-22.9094461,-43.1767977,5.72
-22.9094455,-43.1767999,5.56
-22.91827768,-43.17685268,376.89
-22.9094461,-43.1767977,5.71
-22.91767374,-43.17711304,974.6
-22.91582409,-43.17783644,16.36
-22.9181299,-43.17684821,525.11
-22.91575906,-43.1779196,14.28
-22.9094455,-43.1767999,5.54
-22.91166549,-43.17666411,5.84
-22.9094873,-43.1770178,5.52
-22.90995626,-43.17648184,5.75
-22.91936633,-43.17835676,37.9
-22.90943372,-43.17703876,5.68
-22.91757792,-43.17709965,97.78
-22.91152839,-43.17676789,5.83
-22.91046005,-43.17645464,5.84
-22.91355922,-43.17774688,6.79
-22.91184959,-43.17671834,5.86
-22.9141864,-43.1783076,6.89
-22.91924542,-43.17784978,41.46
-22.91924069,-43.17770761,35.29
-22.91258717,-43.17710843,6.13
-22.9170231,-43.17732766,37.18
-22.91038728,-43.17642864,5.83
-22.91740866,-43.17707793,205.96
-22.9192507,-43.17781994,56.9
-22.91383467,-43.17772912,7.18
-22.90994204,-43.17655382,5.75
-22.91357092,-43.17773204,6.93
-22.9112227,-43.1765233,5.8
-22.91897592,-43.17706929,45.76
-22.91137091,-43.17686931,5.79
-22.91280305,-43.17720651,6.23
-22.91245043,-43.17645,5.91
-22.91423105,-43.17778126,7.7
-22.90985648,-43.17666495,5.69
-22.91085119,-43.17649131,5.83
-22.91252247,-43.17685975,6.01
-22.91081369,-43.17651343,5.85
-22.91363333,-43.17772685,6.99
-22.9094461,-43.1767977,5.72
-22.91342309,-43.17762591,6.69
-22.91156273,-43.17680962,5.81
-22.91407499,-43.17776743,7.35
-22.9094873,-43.1770178,5.4
-22.909791,-43.1766837,5.7
-22.91931679,-43.17754576,36.42
-22.91702808,-43.17734876,30.08
